Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
,,,,,,,,,,,trapped,traplod,TRAPPED,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.377,0,12,12,73,1,,
,,,,,,,,,,,swump,scomp,SWUMP,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,0,2.818,0,13,13,144,1,,
,,,,,,,,,,,rolin,roiln,ROLIN,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.948,0,14,14,126,1,,
,,,,,,,,,,,standust,stalkust,STANDUST,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,2.452,0,15,15,138,1,,
,,,,,,,,,,,return,rafurn,RETURN,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.987,0,16,16,53,1,,
,,,,,,,,,,,forest,forset,FOREST,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.161,0,17,17,20,1,,
,,,,,,,,,,,rimble,ribmle,RIMBLE,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,0,1.286,0,18,18,127,1,,
,,,,,,,,,,,sporks,sproks,SPORKS,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.926,0,19,19,132,1,,
,,,,,,,,,,,crims,cirms,CRIMS,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.848,0,20,20,91,1,,
,,,,,,,,,,,boach,baoch,BOACH,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.219,0,21,21,82,1,,
,,,,,,,,,,,pavement,pirement,PAVEMENT,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.078,0,22,22,42,1,,
,,,,,,,,,,,drink,dirnk,DRINK,TL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.578,0,23,23,14,1,,
,,,,,,,,,,,bidger,bdiger,BIDGER,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.286,0,24,24,81,1,,
,,,,,,,,,,,leopard,leoprad,LEOPARD,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.759,0,25,25,32,1,,
,,,,,,,,,,,chupter,chutper,CHUPTER,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.988,0,26,26,87,1,,
,,,,,,,,,,,kitchen,kitcehn,KITCHEN,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.812,0,27,27,30,1,,
,,,,,,,,,,,markles,martnes,MARKLES,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.268,0,28,28,112,1,,
,,,,,,,,,,,curfomers,crufomers,CURFOMERS,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.332,0,29,29,93,1,,
,,,,,,,,,,,cammied,cammeid,CAMMIED,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.662,0,30,30,85,1,,
,,,,,,,,,,,clavely,calvely,CLAVELY,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.071,0,31,31,88,1,,
,,,,,,,,,,,proffed,porffed,PROFFED,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.753,0,32,32,122,1,,
,,,,,,,,,,,yowned,yoazed,YOWNED,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,2.746,0,33,33,155,1,,
,,,,,,,,,,,pigeon,payeon,PIGEON,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.047,0,34,34,45,1,,
,,,,,,,,,,,entry,etnry,ENTRY,TL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.595,0,35,35,15,1,,
,,,,,,,,,,,playnime,planyime,PLAYNIME,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.999,0,36,36,120,1,,
,,,,,,,,,,,almond,amlond,ALMOND,TL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.929,0,37,37,0,1,,
,,,,,,,,,,,roinwater,rionwater,ROINWATER,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.133,0,38,38,123,1,,
,,,,,,,,,,,grufes,glofes,GRUFES,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.997,0,39,39,105,1,,
,,,,,,,,,,,esferiment,emteriment,ESFERIMENT,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.802,0,40,40,100,1,,
,,,,,,,,,,,following,flolowing,FOLLOWING,TL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.944,0,41,41,18,1,,
,,,,,,,,,,,ghost,ghsot,GHOST,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.903,0,42,42,22,1,,
,,,,,,,,,,,hoafe,houte,HOAFE,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.755,0,43,43,107,1,,
,,,,,,,,,,,winner,winfor,WINNER,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.162,0,44,44,76,1,,
,,,,,,,,,,,birthday,brithday,BIRTHDAY,TL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.915,0,45,45,6,1,,
,,,,,,,,,,,stimp,sturp,STIMP,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,2.528,0,46,46,137,1,,
,,,,,,,,,,,emter,erfer,EMTER,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.334,0,47,47,99,1,,
,,,,,,,,,,,dufty,dulpy,DUFTY,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.697,0,48,48,97,1,,
