Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
,,,,,,,,,,,,midute,midoke,MIDUTE,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.91365,0,80,80,114,1,,
,,,,,,,,,,,,sturfish,stonfish,STURFISH,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,2.01824,0,81,81,139,1,,
,,,,,,,,,,,,drink,dirnk,DRINK,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.69577,0,82,82,14,1,,
,,,,,,,,,,,,skiffed,skfifed,SKIFFED,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.13153,0,83,83,130,1,,
,,,,,,,,,,,,standust,stalkust,STANDUST,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.4876,0,84,84,138,1,,
,,,,,,,,,,,,kitchen,kitcehn,KITCHEN,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.74552,0,85,85,30,1,,
,,,,,,,,,,,,round,reand,ROUND,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.347235,0,86,86,55,1,,
,,,,,,,,,,,,environment,evnironment,ENVIRONMENT,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.018865,0,87,87,16,1,,
,,,,,,,,,,,,esferiment,emteriment,ESFERIMENT,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.25963,0,88,88,100,1,,
,,,,,,,,,,,,child,cihld,CHILD,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.78419,0,89,89,12,1,,
,,,,,,,,,,,,caterpiddar,catrepiddar,CATERPIDDAR,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.38186,0,90,90,86,1,,
,,,,,,,,,,,,stoze,skaze,STOZE,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.85916,0,91,91,141,1,,
,,,,,,,,,,,,chicken,cihcken,CHICKEN,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.69371,0,92,92,11,1,,
,,,,,,,,,,,,following,flolowing,FOLLOWING,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,3.05415,0,93,93,18,1,,
,,,,,,,,,,,,hoafe,houte,HOAFE,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.81954,0,94,94,107,1,,
,,,,,,,,,,,,summer,sumpar,SUMMER,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.890015,0,95,95,67,1,,
,,,,,,,,,,,,stody,spady,STODY,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.72849,0,96,96,142,1,,
,,,,,,,,,,,,motter,mlater,MOTTER,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.95314,0,97,97,115,1,,
,,,,,,,,,,,,gniching,gruching,GNICHING,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.944905,0,98,98,104,1,,
,,,,,,,,,,,,taidor,tordor,TAIDOR,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.730905,0,99,99,145,1,,
,,,,,,,,,,,,pench,pnech,PENCH,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.085955,0,100,100,118,1,,
,,,,,,,,,,,,alphabet,aplhabet,ALPHABET,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.72715,0,101,101,1,1,,
,,,,,,,,,,,,lying,lynig,LYING,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.045155,0,102,102,33,1,,
,,,,,,,,,,,,instant,instnat,INSTANT,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.702895,0,103,103,29,1,,
,,,,,,,,,,,,snack,snurk,SNACK,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.844195,0,104,104,60,1,,
,,,,,,,,,,,,meanwhile,meanwhlie,MEANWHILE,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.91305,0,105,105,36,1,,
,,,,,,,,,,,,sporks,sproks,SPORKS,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.185945,0,106,106,132,1,,
